study_id,timepoint_category,prevalence,N,iter
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,1
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,1
Gasparrini_2019_infant,DOL 9-42,0.2692307692307692,26,1
Gibson_2016_preterm,DOL 1-8,0.22807017543859648,114,1
Gibson_2016_preterm,DOL 43-455,0.125,16,1
Gibson_2016_preterm,DOL 9-42,0.2903225806451613,93,1
Morrow_2016_preterm_infants,DOL 1-8,0.1320754716981132,53,1
Morrow_2016_preterm_infants,DOL 9-42,0,20,1
PRIMAL,DOL 1-8,0.08620689655172414,116,1
PRIMAL,DOL 43-455,0.06,50,1
PRIMAL,DOL 9-42,0.25806451612903225,434,1
Parnanen_2019_infant,DOL 1-8,0,1,1
Parnanen_2019_infant,DOL 9-42,0.15625,32,1
Rahman_2018_preterm_NICU,DOL 1-8,0.10752688172043011,93,1
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,1
Rahman_2018_preterm_NICU,DOL 9-42,0.11052631578947368,190,1
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,2
Gasparrini_2019_infant,DOL 43-455,0.09523809523809523,63,2
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,2
Gibson_2016_preterm,DOL 1-8,0.21929824561403508,114,2
Gibson_2016_preterm,DOL 43-455,0.125,16,2
Gibson_2016_preterm,DOL 9-42,0.3010752688172043,93,2
Morrow_2016_preterm_infants,DOL 1-8,0.1509433962264151,53,2
Morrow_2016_preterm_infants,DOL 9-42,0,20,2
PRIMAL,DOL 1-8,0.10344827586206896,116,2
PRIMAL,DOL 43-455,0.08,50,2
PRIMAL,DOL 9-42,0.2511520737327189,434,2
Parnanen_2019_infant,DOL 1-8,0,1,2
Parnanen_2019_infant,DOL 9-42,0.1875,32,2
Rahman_2018_preterm_NICU,DOL 1-8,0.0967741935483871,93,2
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,2
Rahman_2018_preterm_NICU,DOL 9-42,0.12105263157894737,190,2
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,3
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,3
Gasparrini_2019_infant,DOL 9-42,0.19230769230769232,26,3
Gibson_2016_preterm,DOL 1-8,0.21929824561403508,114,3
Gibson_2016_preterm,DOL 43-455,0.125,16,3
Gibson_2016_preterm,DOL 9-42,0.2903225806451613,93,3
Morrow_2016_preterm_infants,DOL 1-8,0.1509433962264151,53,3
Morrow_2016_preterm_infants,DOL 9-42,0,20,3
PRIMAL,DOL 1-8,0.09482758620689655,116,3
PRIMAL,DOL 43-455,0.04,50,3
PRIMAL,DOL 9-42,0.27880184331797236,434,3
Parnanen_2019_infant,DOL 1-8,0,1,3
Parnanen_2019_infant,DOL 9-42,0.15625,32,3
Rahman_2018_preterm_NICU,DOL 1-8,0.07526881720430108,93,3
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,3
Rahman_2018_preterm_NICU,DOL 9-42,0.1,190,3
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,4
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,4
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,4
Gibson_2016_preterm,DOL 1-8,0.21052631578947367,114,4
Gibson_2016_preterm,DOL 43-455,0.125,16,4
Gibson_2016_preterm,DOL 9-42,0.26881720430107525,93,4
Morrow_2016_preterm_infants,DOL 1-8,0.18867924528301888,53,4
Morrow_2016_preterm_infants,DOL 9-42,0,20,4
PRIMAL,DOL 1-8,0.09482758620689655,116,4
PRIMAL,DOL 43-455,0.08,50,4
PRIMAL,DOL 9-42,0.2626728110599078,434,4
Parnanen_2019_infant,DOL 1-8,0,1,4
Parnanen_2019_infant,DOL 9-42,0.15625,32,4
Rahman_2018_preterm_NICU,DOL 1-8,0.11827956989247312,93,4
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,4
Rahman_2018_preterm_NICU,DOL 9-42,0.11052631578947368,190,4
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,5
Gasparrini_2019_infant,DOL 43-455,0.12698412698412698,63,5
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,5
Gibson_2016_preterm,DOL 1-8,0.21052631578947367,114,5
Gibson_2016_preterm,DOL 43-455,0.1875,16,5
Gibson_2016_preterm,DOL 9-42,0.2903225806451613,93,5
Morrow_2016_preterm_infants,DOL 1-8,0.1320754716981132,53,5
Morrow_2016_preterm_infants,DOL 9-42,0,20,5
PRIMAL,DOL 1-8,0.09482758620689655,116,5
PRIMAL,DOL 43-455,0.06,50,5
PRIMAL,DOL 9-42,0.2672811059907834,434,5
Parnanen_2019_infant,DOL 1-8,0,1,5
Parnanen_2019_infant,DOL 9-42,0.1875,32,5
Rahman_2018_preterm_NICU,DOL 1-8,0.08602150537634409,93,5
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,5
Rahman_2018_preterm_NICU,DOL 9-42,0.1,190,5
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,6
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,6
Gasparrini_2019_infant,DOL 9-42,0.19230769230769232,26,6
Gibson_2016_preterm,DOL 1-8,0.21052631578947367,114,6
Gibson_2016_preterm,DOL 43-455,0.1875,16,6
Gibson_2016_preterm,DOL 9-42,0.3010752688172043,93,6
Morrow_2016_preterm_infants,DOL 1-8,0.16981132075471697,53,6
Morrow_2016_preterm_infants,DOL 9-42,0,20,6
PRIMAL,DOL 1-8,0.09482758620689655,116,6
PRIMAL,DOL 43-455,0.06,50,6
