Sample,S_aureus_count,tax_reads,Total_read_count,study,Timepoint,subject_id,sample_alias,S_aureus,present_actual,adj_count_min,present_min,adj_count_1stQ,present_1stQ,adj_count_median,present_median,adj_count_3rdQ,present_3rdQ,adj_count_max,present_max,adj_rel
X17.2.8.004.c.001.N3,6499,21138,60902527,PRIMAL,DOL 1-8,17.2.8.004,PRIMAL_17.2.8.004.c.001,0.30745576686536097,TRUE,7.321796138278465,1,682.6447758727646,1,3648.5689425826286,1,6166.695374068797,1,52232.18827135038,1,1.0671149983645177e-4
SAMN07501328,4794,6315,29051212,Rahman_2018_preterm_NICU,DOL 1-8,Rahman_2018_preterm_NICU.subject_N4_171,Rahman_2018_preterm_NICU.sample_N4_171_000G1,0.7591448931116389,TRUE,11.32244403434872,1,1055.643604955277,1,5642.1562247385755,1,9536.193296169537,1,80771.98781895915,1,1.6501893277292526e-4
X01.2.8.014.c.001.N1,4660,43807,92717611,PRIMAL,DOL 1-8,01.2.8.014,PRIMAL_01.2.8.014.c.001,0.10637569338233616,TRUE,3.44849890491678,1,321.51943561186016,1,1718.4425467994424,1,2904.4570270474287,1,24600.882167897962,1,5.026013882087622e-5
SAMN07501220,4179,4504,16147196,Rahman_2018_preterm_NICU,DOL 9-42,Rahman_2018_preterm_NICU.subject_N4_171,Rahman_2018_preterm_NICU.sample_N4_171_026G1,0.9278419182948491,TRUE,17.757493437250655,1,1655.6128986110036,1,8848.844986894319,1,14956.036820262789,1,126678.30719742301,1,2.588065444923069e-4
X10.2.7.012.c.001.N1,3564,19439,65388325,PRIMAL,DOL 1-8,10.2.7.012,PRIMAL_10.2.7.012.c.001,0.1833427645455013,TRUE,3.7397613717739366,1,348.6751768607011,1,1863.5833251884033,1,3149.769362038254,1,26678.688722183968,1,5.450514292880266e-5
SAMN01780300,3099,4367,18932604,Morrow_2016_preterm_infants,DOL 1-8,11792,11792.ST.11.1,0.7096404854591253,TRUE,11.230979478575689,1,1047.1159431634444,1,5596.57796344338,1,9459.158366170866,1,80119.49848340989,1,0.00016368588282943011
SAMN04436962,2364,3162,6885447,Gibson_2016_preterm,DOL 9-42,Gibson_2016_preterm.subject_345.02,Gibson_2016_preterm.sample_6-E2,0.7476280834914611,TRUE,23.557095421691574,1,2196.3365027717155,1,11738.880065738651,1,19840.682343499266,1,168051.47534212374,1,3.433328293718621e-4
X01.1.7.009.c.001.N2,1574,27392,59573644,PRIMAL,DOL 1-8,01.1.7.009,PRIMAL_01.1.7.009.c.001,0.05746203271028037,TRUE,1.8128295458978472,1,169.01844788947272,1,903.3621606561452,1,1526.8340395628645,1,12932.353258263,1,2.6421079764736232e-5
SAMN04436812,1541,10219,19721327,Gibson_2016_preterm,DOL 1-8,Gibson_2016_preterm.subject_197.01,Gibson_2016_preterm.sample_4-F8,0.15079753400528428,TRUE,5.361334609988465,1,499.861918318174,1,2671.6393872988365,1,4515.520060085206,1,38246.6588041971,1,7.813875810689615e-5
SAMN07501322,1443,35494,125891466,Rahman_2018_preterm_NICU,DOL 1-8,Rahman_2018_preterm_NICU.subject_N4_160,Rahman_2018_preterm_NICU.sample_N4_160_000G1,0.04065475855074097,TRUE,0.7864596556529099,0,73.32525588350842,1,391.9055133490939,1,662.3862545218117,1,5610.441485406168,1,1.1462254319923481e-5
X10.2.7.007.c.001.N1,1437,21682,67365074,PRIMAL,DOL 1-8,10.2.7.007,PRIMAL_10.2.7.007.c.001,0.06627617378470621,TRUE,1.4636201691101833,1,136.46004934248273,1,729.3455037398163,1,1232.7166115782788,1,10441.165362558646,1,2.1331528560333803e-5
X06.2.7.001.c.028.G1,1289,14548,39491382,PRIMAL,DOL 9-42,06.2.7.001,PRIMAL_06.2.7.001.c.028,0.08860324443222437,TRUE,2.239530563908855,1,208.80174904995727,1,1115.9941504959233,1,1886.2178771054403,1,15976.350589984417,1,3.2640032703844094e-5
X01.1.8.014.c.028.G1,975,16215,48809559,PRIMAL,DOL 9-42,01.1.8.014,PRIMAL_01.1.8.014.c.028,0.060129509713228495,TRUE,1.370585524036388,1,127.78600089380033,1,682.984841657758,1,1154.359292613154,1,9777.47533275193,1,1.997559535418052e-5
SAMN07501321,937,48319,162249028,Rahman_2018_preterm_NICU,DOL 1-8,Rahman_2018_preterm_NICU.subject_N4_159,Rahman_2018_preterm_NICU.sample_N4_159_000G1,0.01939195761501687,TRUE,0.39624509183500317,0,36.943754892633315,1,197.4553112946846,1,333.7326973693796,1,2826.7310161944392,1,5.775073117849433e-6
X11.2.8.002.c.028.G1,876,18856,50934473,PRIMAL,DOL 9-42,11.2.8.002,PRIMAL_11.2.8.002.c.028,0.04645736105218498,TRUE,1.1800453496397223,1,110.02106286640091,1,588.0356038630262,1,993.8791058071808,1,8418.200904130292,1,1.7198568050365417e-5
X01.1.7.007.c.028.G1,839,13522,43534201,PRIMAL,DOL 9-42,01.1.7.007,PRIMAL_01.1.7.007.c.028,0.06204703446235764,TRUE,1.3223237288769811,1,123.28633145236776,1,658.9352118119729,1,1113.7113718935602,1,9433.185608827414,1,1.92722039391512e-5
X05.2.8.001.c.001.N3,816,824,68723124,PRIMAL,DOL 1-8,05.2.8.001,PRIMAL_05.2.8.001.c.001,0.9902912621359223,TRUE,0.8146924170676526,0,75.95752626146623,1,405.9743530867427,1,686.1649607197718,1,5811.848200614396,1,1.1873732631828554e-5
SAMN07501200,787,7017,23216746,Rahman_2018_preterm_NICU,DOL 43-455,Rahman_2018_preterm_NICU.subject_N4_160,Rahman_2018_preterm_NICU.sample_N4_160_053G1,0.11215619210488813,TRUE,2.3258397623853058,1,216.84875313706752,1,1159.0034142166176,1,1958.9107689768412,1,16592.06266653389,1,3.3897945905080755e-5
X01.1.8.014.c.001.G1,719,14829,44403312,PRIMAL,DOL 1-8,01.1.8.014,PRIMAL_01.1.8.014.c.001,0.04848607458358622,TRUE,1.111015029689677,1,103.58504820541314,1,553.6366836104478,1,935.7391430621211,1,7925.752794408669,1,1.6192485821778338e-5
X12.1.8.012.c.028.N2,716,28628,73052665,PRIMAL,DOL 9-42,12.1.8.012,PRIMAL_12.1.8.012.c.028,0.025010479251082855,TRUE,0.6724861851378043,0,62.698984301257184,1,335.11069730310317,1,566.3934598416088,1,4797.37817997468,1,9.801148253797449e-6
X01.1.8.008.c.001.G1,700,9314,29451583,PRIMAL,DOL 1-8,01.1.8.008,PRIMAL_01.1.8.008.c.001,0.0751556796220743,TRUE,1.6307816119765106,1,152.04528055418956,1,812.6447430686493,1,1373.506340898552,1,11633.660727167025,1,2.3767822598873547e-5
X20.1.7.002.c.028.N1,696,20802,50533637,PRIMAL,DOL 9-42,20.1.7.002,PRIMAL_20.1.7.002.c.028,0.033458321315258145,TRUE,0.9450071444491518,0,88.10736848408517,1,470.9122806260709,1,795.9209838785204,1,6741.486672728503,1,1.3773004306022937e-5
SAMN07501199,692,6783,24043675,Rahman_2018_preterm_NICU,DOL 9-42,Rahman_2018_preterm_NICU.subject_N4_160,Rahman_2018_preterm_NICU.sample_N4_160_039G1,0.10201975527052927,TRUE,1.9747478702818932,1,184.114839016914,1,984.0486695981375,1,1663.2078149450947,1,14087.44529361672,1,2.8780957985832032e-5
X11.1.7.003.c.028.G1,661,15033,47520814,PRIMAL,DOL 9-42,11.1.7.003,PRIMAL_11.1.7.003.c.028,0.043969932814474824,TRUE,0.9543858613196314,0,88.98178945335407,1,475.585846298845,1,803.820096179329,1,6808.392510595463,1,1.3909694392019464e-5
X01.2.7.004.c.028.G1,645,13642,47373297,PRIMAL,DOL 9-42,01.2.7.004,PRIMAL_01.2.7.004.c.028,0.04728045741093681,TRUE,0.9341841881936147,0,87.09829442523285,1,465.5190272064028,1,786.8054782000924,1,6664.277928027682,1,1.3615265156655658e-5
SAMN07501195,623,6571,21750094,Rahman_2018_preterm_NICU,DOL 9-42,Rahman_2018_preterm_NICU.subject_N4_159,Rahman_2018_preterm_NICU.sample_N4_159_039G1,0.09481053112159489,TRUE,1.9653201958575444,1,183.23585350941474,1,979.3507075877466,1,1655.2674687291008,1,14020.19020262625,1,2.864355436808687e-5
SAMN07501219,622,1114,9526108,Rahman_2018_preterm_NICU,DOL 9-42,Rahman_2018_preterm_NICU.subject_N4_171,Rahman_2018_preterm_NICU.sample_N4_171_017G1,0.5583482944344704,TRUE,4.480033818638209,1,417.6941865450192,1,2232.4730084941298,1,3773.2549914403658,1,31959.640156294678,1,6.529424188766283e-5
X13.1.8.003.c.028.N1,603,29145,67721432,PRIMAL,DOL 9-42,13.1.8.003,PRIMAL_13.1.8.003.c.028,0.020689655172413793,TRUE,0.6109386316579957,0,56.96062242156959,1,304.44056010215496,1,514.5557678106984,1,4358.310587776703,1,8.904123586754633e-6
X01.1.7.015.c.001.N1,584,12822,62037084,PRIMAL,DOL 9-42,01.1.7.015,PRIMAL_01.1.7.015.c.001,0.04554671658087662,TRUE,0.6459038596978544,0,60.220591670620756,1,321.86429639407294,1,544.004813636953,1,4607.745335676964,1,9.413724216953847e-6
X11.2.7.007.c.028.G1,491,12153,43120613,PRIMAL,DOL 9-42,11.2.7.007,PRIMAL_11.2.7.007.c.028,0.04040154694314161,TRUE,0.7812732857021304,0,72.84170672620077,1,389.32106166950825,1,658.0180963568398,1,5573.442988507608,1,1.138666558381255e-5
